,day,is_member,start_station_code,index,Code,name,latitude_x,longitude_x,year_x,trip_c,emplacement_pk_start,pk,FID,latitude_y,longitude_y,year_y,X_x,Y_x,cluster,X_y,Y_y,X_mean,Y_mean
0,199,8107.0,9192.0,4000,4000.0,Jeanne-d'Arc / Ontario,45.54959767887176,-73.54187428951263,2019,9192,,,0,45.54959768,-73.54187429,2019,301530,5045520,467,301530.0,5045520.0,301530.0,5045520.0
1,202,,,137,,Jeanne-d'Arc / Ontario,45.549598,-73.541874,2022,17176,17176.0,137.0,642,45.549598,-73.541874,2022,301530,5045520,467,301530.0,5045520.0,301530.0,5045520.0
2,164,1152.0,1574.0,4001,4001.0,Graham / Brookfield,45.52007477080967,-73.6297756433487,2019,1574,,,1,45.52007477,-73.62977564,2019,294662,5042250,193,294658.5,5042255.0,294658.5,5042255.0
3,202,,,694,,Graham / Brookfield,45.520222,-73.629856,2022,4410,4410.0,694.0,1101,45.520222,-73.629856,2022,294655,5042260,193,294658.5,5042255.0,294658.5,5042255.0
4,196,2814.0,3762.0,4002,4002.0,Graham / Wicksteed,45.51693654712809,-73.64048302173615,2019,3762,,,2,45.51693655,-73.64048302,2019,293824,5041900,290,293824.0,5041900.0,293824.0,5041900.0
5,202,,,834,,Graham / Wicksteed,45.5169365,-73.640483,2022,4400,4400.0,834.0,1140,45.5169365,-73.640483,2022,293824,5041900,290,293824.0,5041900.0,293824.0,5041900.0
6,180,476.0,682.0,5002,5002.0,St-Charles / Montarville,45.53368199320325,-73.51526074111462,2019,682,,,3,45.53368199,-73.51526074,2019,303608,5043750,466,303608.0,5043750.0,303608.0,5043750.0
7,185,,,529,,St-Charles / Montarville,45.533682,-73.515261,2022,729,729.0,529.0,971,45.533682,-73.515261,2022,303608,5043750,466,303608.0,5043750.0,303608.0,5043750.0
8,163,360.0,503.0,5003,5003.0,Place Longueuil,45.52841043752244,-73.51716578006744,2019,503,,,4,45.52841044,-73.51716578,2019,303459,5043170,628,303459.0,5043170.0,303459.0,5043170.0
9,182,,,528,,Place Longueuil,45.52841,-73.517166,2022,856,856.0,528.0,970,45.52841,-73.517166,2022,303459,5043170,628,303459.0,5043170.0,303459.0,5043170.0
10,175,411.0,591.0,5004,5004.0,St-Charles / Grant,45.539824,-73.508752,2019,591,,,5,45.539824,-73.508752,2019,304116,5044430,514,304116.0,5044430.0,304116.0,5044430.0
11,193,,,531,,St-Charles / Grant,45.539824,-73.508752,2022,970,970.0,531.0,973,45.539824,-73.508752,2022,304116,5044430,514,304116.0,5044430.0,304116.0,5044430.0
12,146,386.0,589.0,5005,5005.0,St-Charles / St-Jean,45.53690747306937,-73.51191401481627,2019,589,,,6,45.53690747,-73.51191401,2019,303870,5044110,16,303836.0,5044080.0,303836.0,5044080.0
13,61,,,862,,St-Charles / St-Sylvestre,45.5363438,-73.5127777,2022,288,288.0,862.0,1154,45.5363438,-73.5127777,2022,303802,5044050,16,303836.0,5044080.0,303836.0,5044080.0
14,191,796.0,996.0,5006,5006.0,Collège Édouard-Montpetit (de Gentilly / de Normandie),45.53722603812578,-73.49506705999374,2019,996,,,7,45.53722604,-73.49506706,2019,305185,5044150,503,305185.0,5044150.0,305185.0,5044150.0
15,197,,,530,,Collège Édouard-Montpetit (de Gentilly / de Normandie),45.537226,-73.495067,2022,1446,1446.0,530.0,972,45.537226,-73.495067,2022,305185,5044150,503,305185.0,5044150.0,305185.0,5044150.0
16,196,2337.0,3058.0,5007,5007.0,Métro Longueuil - Université de Sherbrooke,45.52331869398737,-73.52012693881989,2019,3058,,,8,45.52331869,-73.52012694,2019,303228,5042600,517,303228.0,5042600.0,303228.0,5042600.0
17,202,,,527,,Métro Longueuil - Université de Sherbrooke,45.523319,-73.520127,2022,4689,4689.0,527.0,969,45.523319,-73.520127,2022,303228,5042600,517,303228.0,5042600.0,303228.0,5042600.0
18,199,7596.0,9816.0,6001,6001.0,Métro Champ-de-Mars (Viger / Sanguinet),45.51035067563653,-73.55650842189789,2019,9816,,,9,45.51035068,-73.55650842,2019,300385,5041160,482,300385.0,5041160.0,300385.0,5041160.0
19,202,,,410,,Métro Champ-de-Mars (Viger / Sanguinet),45.510351,-73.556508,2022,14979,14979.0,410.0,875,45.510351,-73.556508,2022,300385,5041160,482,300385.0,5041160.0,300385.0,5041160.0
20,197,6235.0,7703.0,6002,6002.0,Ste-Catherine / Dezery,45.53938508196168,-73.54099988937377,2019,7703,,,10,45.53938508,-73.54099989,2019,301598,5044390,595,301598.0,5044390.0,301598.0,5044390.0
21,202,,,153,,Ste-Catherine / Dezery,45.539385,-73.541,2022,11937,11937.0,153.0,654,45.539385,-73.541,2022,301598,5044390,595,301598.0,5044390.0,301598.0,5044390.0
22,199,9065.0,11206.0,6003,6003.0,Clark / Evans,45.51100666600306,-73.56760203838348,2019,11206,,,11,45.51100667,-73.56760204,2019,299518,5041230,13,299526.3333333333,5041220.0,299526.3333333333,5041220.0
23,169,,,855,,Clark / Ontario,45.5106246,-73.5669033,2022,18621,18621.0,855.0,1150,45.5106246,-73.5669033,2022,299572,5041190,13,299526.3333333333,5041220.0,299526.3333333333,5041220.0
24,34,,,1286,,Evans / Clark,45.5110837,-73.5679775,2022,1688,1688.0,1286.0,1460,45.5110837,-73.5679775,2022,299489,5041240,13,299526.3333333333,5041220.0,299526.3333333333,5041220.0
25,198,5598.0,7678.0,6004,6004.0,du Champ-de-Mars / Gosford,45.50965520472071,-73.55400860309601,2019,7678,,,12,45.5096552,-73.5540086,2019,300580,5041080,618,300580.0,5041080.0,300580.0,5041080.0
26,202,,,409,,du Champ-de-Mars / Gosford,45.509655,-73.554009,2022,8308,8308.0,409.0,874,45.509655,-73.554009,2022,300580,5041080,618,300580.0,5041080.0,300580.0,5041080.0
27,194,10542.0,12575.0,6005,6005.0,Metcalfe / du Square-Dorchester,45.500208064155046,-73.57113786041737,2019,12575,,,13,45.50020806,-73.57113786,2019,299241,5040030,780,299241.0,5040030.0,299241.0,5040030.0
28,200,,,687,,Metcalfe / du Square-Dorchester,45.500208,-73.571138,2022,9510,9510.0,687.0,1094,45.500208,-73.571138,2022,299241,5040030,780,299241.0,5040030.0,299241.0,5040030.0
29,199,5402.0,6240.0,6006,6006.0,18e avenue / Rosemont,45.55789545752947,-73.5765291005373,2019,6240,,,14,45.55789546,-73.5765291,2019,298825,5046450,461,298825.0,5046450.0,298825.0,5046450.0
30,155,,,601,,18e avenue / Rosemont,45.557896,-73.576529,2022,7141,7141.0,601.0,1032,45.557896,-73.576529,2022,298825,5046450,461,298825.0,5046450.0,298825.0,5046450.0
31,181,4508.0,5956.0,6007,6007.0,de l'Hôtel-de-Ville / Ste-Catherine,45.51166045593874,-73.56213569641113,2019,5956,,,15,45.51166046,-73.5621357,2019,299945,5041310,611,299945.0,5041310.0,299945.0,5041310.0
32,202,,,321,,de l'Hôtel-de-Ville / Ste-Catherine,45.51166,-73.562136,2022,13730,13730.0,321.0,796,45.51166,-73.562136,2022,299945,5041310,611,299945.0,5041310.0,299945.0,5041310.0
33,199,7004.0,8799.0,6008,6008.0,Sanguinet / Ste-Catherine,45.51279685582333,-73.56146247242577,2019,8799,,,16,45.51279686,-73.56146247,2019,299998,5041430,30,300003.6666666667,5041433.333333333,300003.6666666667,5041433.333333333
34,153,,,324,,Sanguinet / Ste-Catherine,45.512797,-73.561463,2022,9692,9692.0,324.0,799,45.512797,-73.561463,2022,299998,5041430,30,300003.6666666667,5041433.333333333,300003.6666666667,5041433.333333333
35,50,,,1056,,Ste-Catherine / Sanguinet,45.5128938,-73.5612479,2022,2959,2959.0,1056.0,1269,45.5128938,-73.5612479,2022,300015,5041440,30,300003.6666666667,5041433.333333333,300003.6666666667,5041433.333333333
36,182,8976.0,12080.0,6009,6009.0,Crescent / de Maisonneuve,45.49811161443597,-73.57761539518833,2019,12080,,,17,45.49811161,-73.5776154,2019,298734,5039800,675,298734.0,5039800.0,298734.0,5039800.0
37,187,,,381,,Crescent / de Maisonneuve,45.498112,-73.577615,2022,29855,29855.0,381.0,850,45.498112,-73.577615,2022,298734,5039800,675,298734.0,5039800.0,298734.0,5039800.0
38,198,9343.0,10414.0,6011,6011.0,St-André / St-Antoine,45.51411452790017,-73.55264469981194,2019,10414,,,18,45.51411453,-73.5526447,2019,300687,5041580,572,300687.0,5041580.0,300687.0,5041580.0
39,202,,,411,,St-André / St-Antoine,45.514114,-73.552645,2022,9119,9119.0,411.0,876,45.514114,-73.552645,2022,300687,5041580,572,300687.0,5041580.0,300687.0,5041580.0
40,199,19314.0,25100.0,6012,6012.0,Métro St-Laurent (de Maisonneuve / St-Laurent),45.51066,-73.56497,2019,25100,,,19,45.51066,-73.56497,2019,299724,5041200,72,299713.6,5041202.0,299713.6,5041202.0
41,202,,,317,,Métro St-Laurent (de Maisonneuve / St-Laurent),45.51066,-73.56497,2022,25268,25268.0,317.0,794,45.51066,-73.56497,2022,299724,5041200,72,299713.6,5041202.0,299713.6,5041202.0
42,38,,,1191,,Métro St-Laurent Dépôt ( de Maisonneuve / St-Laurent),45.5106881,-73.5653074,2022,499,499.0,1191.0,1366,45.5106881,-73.5653074,2022,299697,5041200,72,299713.6,5041202.0,299713.6,5041202.0
43,25,,,1210,,Dépôt Festivals ( de Maisonneuve / St-Laurent),45.5106881,-73.5653074,2022,142,142.0,1210.0,1385,45.5106881,-73.5653074,2022,299697,5041200,72,299713.6,5041202.0,299713.6,5041202.0
44,81,,,1248,,Métro St-Laurent 2 ( de Maisonneuve / St-Laurent),45.5107698,-73.5649373,2022,6165,6165.0,1248.0,1422,45.5107698,-73.5649373,2022,299726,5041210,72,299713.6,5041202.0,299713.6,5041202.0
45,199,9258.0,11475.0,6013,6013.0,Sanguinet / de Maisonneuve,45.51340553558378,-73.56259435415267,2019,11475,,,20,45.51340554,-73.56259435,2019,299909,5041500,375,299909.0,5041500.0,299909.0,5041500.0
46,202,,,327,,Sanguinet / de Maisonneuve,45.513405,-73.562594,2022,14505,14505.0,327.0,802,45.513405,-73.562594,2022,299909,5041500,375,299909.0,5041500.0,299909.0,5041500.0
47,199,8448.0,10358.0,6014,6014.0,St-Denis / René-Lévesque,45.51287121578035,-73.55846643447876,2019,10358,,,21,45.51287122,-73.55846643,2019,300232,5041440,506,300232.0,5041440.0,300232.0,5041440.0
48,58,,,681,,St-Denis / René-Lévesque,45.512871,-73.558466,2022,4446,4446.0,681.0,1091,45.512871,-73.558466,2022,300232,5041440,506,300232.0,5041440.0,300232.0,5041440.0
49,199,22331.0,27920.0,6015,6015.0,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273,2019,27920,,,22,45.515299,-73.561273,2019,300013,5041710,90,300021.0,5041723.333333333,300021.0,5041723.333333333
50,199,9094.0,11617.0,7009,7009.0,Place Émilie-Gamelin (de Maisonneuve / Berri),45.51569016499682,-73.56096625328064,2019,11617,,,473,45.51569017,-73.56096625,2019,300037,5041750,90,300021.0,5041723.333333333,300021.0,5041723.333333333
51,125,,,332,,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273,2022,20124,20124.0,332.0,807,45.515299,-73.561273,2022,300013,5041710,90,300021.0,5041723.333333333,300021.0,5041723.333333333
52,195,1803.0,2356.0,6016,6016.0,Jacques-Le Ber / de la Pointe Nord,45.472503,-73.539285,2019,2356,,,23,45.472503,-73.539285,2019,301728,5036950,603,301728.0,5036950.0,301728.0,5036950.0
53,201,,,448,,Jacques-Le Ber / de la Pointe Nord,45.472503,-73.539285,2022,4725,4725.0,448.0,907,45.472503,-73.539285,2022,301728,5036950,603,301728.0,5036950.0,301728.0,5036950.0
54,199,6872.0,8069.0,6017,6017.0,Atateken / du Square Amherst,45.52063377251984,-73.56390595436096,2019,8069,,,24,45.52063377,-73.56390595,2019,299808,5042300,717,299808.0,5042300.0,299808.0,5042300.0
55,202,,,749,,Atateken / du Square Amherst,45.5206338,-73.563906,2022,20774,20774.0,749.0,1110,45.5206338,-73.563906,2022,299808,5042300,717,299808.0,5042300.0,299808.0,5042300.0
56,199,9050.0,10448.0,6018,6018.0,St-André / Ontario,45.51889,-73.56353,2019,10448,,,25,45.51889,-73.56353,2019,299837,5042110,354,299837.0,5042110.0,299837.0,5042110.0
57,202,,,278,,St-André / Ontario,45.51889,-73.56353,2022,11906,11906.0,278.0,762,45.51889,-73.56353,2022,299837,5042110,354,299837.0,5042110.0,299837.0,5042110.0
58,199,21149.0,24326.0,6019,6019.0,Métro Sherbrooke (de Rigaud / Berri),45.51799893773692,-73.56818407773972,2019,24326,,,26,45.51799894,-73.56818408,2019,299473,5042010,713,299473.0,5042010.0,299473.0,5042010.0
59,202,,,750,,Métro Sherbrooke (de Rigaud / St-Denis),45.5179989,-73.5681841,2022,29745,29745.0,750.0,1111,45.5179989,-73.5681841,2022,299473,5042010,713,299473.0,5042010.0,299473.0,5042010.0
60,186,9420.0,12198.0,6020,6020.0,Sanguinet / Ontario,45.51476724402057,-73.56549113988876,2019,12198,,,27,45.51476724,-73.56549114,2019,299683,5041650,765,299683.0,5041650.0,299683.0,5041650.0
61,27,,,271,,Sanguinet / Ontario,45.514767,-73.565491,2022,1851,1851.0,271.0,757,45.514767,-73.565491,2022,299683,5041650,765,299683.0,5041650.0,299683.0,5041650.0
62,199,13339.0,15733.0,6021,6021.0,de l'Hôtel-de-Ville / Sherbrooke,45.5145646696576,-73.56840670108795,2019,15733,,,28,45.51456467,-73.5684067,2019,299455,5041630,606,299455.0,5041630.0,299455.0,5041630.0
63,202,,,234,,de l'Hôtel-de-Ville / Sherbrooke,45.514565,-73.568407,2022,16665,16665.0,234.0,724,45.514565,-73.568407,2022,299455,5041630,606,299455.0,5041630.0,299455.0,5041630.0
64,199,8149.0,9385.0,6022,6022.0,William-Tremblay / Molson,45.541719808901306,-73.56517732143402,2019,9385,,,29,45.54171981,-73.56517732,2019,299710,5044650,154,299716.5,5044640.0,299716.5,5044640.0
65,201,,,929,,Molson / William-Tremblay,45.5415485,-73.5650124,2022,8279,8279.0,929.0,1192,45.5415485,-73.5650124,2022,299723,5044630,154,299716.5,5044640.0,299716.5,5044640.0
66,199,13194.0,24504.0,6023,6023.0,de la Commune / Berri,45.51086,-73.54983,2019,24504,,,30,45.51086,-73.54983,2019,300907,5041220,638,300907.0,5041220.0,300907.0,5041220.0
67,202,,,471,,de la Commune / Berri,45.51086,-73.54983,2022,29110,29110.0,471.0,926,45.51086,-73.54983,2022,300907,5041220,638,300907.0,5041220.0,300907.0,5041220.0
68,119,341.0,570.0,6024,6024.0,Bellerive / Duchesneau,45.60761595633475,-73.50982189178467,2019,570,,,31,45.60761596,-73.50982189,2019,304034,5051970,437,304034.0,5051970.0,304034.0,5051970.0
69,198,3928.0,6488.0,6025,6025.0,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,2019,6488,,,32,45.50714392,-73.55511904,2019,300493,5040800,743,300493.0,5040800.0,300493.0,5040800.0
70,201,,,408,,Notre-Dame / St-Gabriel,45.507144,-73.555119,2022,8304,8304.0,408.0,873,45.507144,-73.555119,2022,300493,5040800,743,300493.0,5040800.0,300493.0,5040800.0
71,199,10709.0,29050.0,6026,6026.0,de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,2019,29050,,,33,45.50761009,-73.55183601,2019,300750,5040860,434,300750.0,5040860.0,300750.0,5040860.0
72,202,,,470,,de la Commune / Place Jacques-Cartier,45.50761,-73.551836,2022,43377,43377.0,470.0,925,45.50761,-73.551836,2022,300750,5040860,434,300750.0,5040860.0,300750.0,5040860.0
73,199,16985.0,19874.0,6027,6027.0,de Maisonneuve / Mansfield (sud),45.502053864057466,-73.57346534729004,2019,19874,,,34,45.50205386,-73.57346535,2019,299059,5040240,114,299065.6,5040262.0,299065.6,5040262.0
74,199,14391.0,16557.0,7046,7046.0,de Maisonneuve / Mansfield (nord),45.50238607958335,-73.57333794236183,2019,16557,,,510,45.50238608,-73.57333794,2019,299069,5040280,114,299065.6,5040262.0,299065.6,5040262.0
75,202,,,623,,de Maisonneuve / Mansfield (nord),45.502311,-73.5733635,2022,13622,13622.0,623.0,1047,45.502311,-73.5733635,2022,299067,5040270,114,299065.6,5040262.0,299065.6,5040262.0
76,202,,,626,,de Maisonneuve / Mansfield (sud),45.502145,-73.573427,2022,17694,17694.0,626.0,1050,45.502145,-73.573427,2022,299062,5040250,114,299065.6,5040262.0,299065.6,5040262.0
77,48,,,1275,,de Maisonneuve / Mansfield SE,45.5022935,-73.5733064,2022,1803,1803.0,1275.0,1449,45.5022935,-73.5733064,2022,299071,5040270,114,299065.6,5040262.0,299065.6,5040262.0
