,day,is_member,start_station_code,index,Code,name,latitude,longitude,trip_per_day_2019
0,199,8107,9192,4000,4000.0,Jeanne-d'Arc / Ontario,45.54959767887176,-73.54187428951263,46.19095477386934
1,164,1152,1574,4001,4001.0,Graham / Brookfield,45.52007477080967,-73.6297756433487,9.597560975609756
2,196,2814,3762,4002,4002.0,Graham / Wicksteed,45.51693654712809,-73.64048302173615,19.193877551020407
3,180,476,682,5002,5002.0,St-Charles / Montarville,45.53368199320325,-73.51526074111462,3.7888888888888888
4,163,360,503,5003,5003.0,Place Longueuil,45.52841043752244,-73.51716578006744,3.085889570552147
5,175,411,591,5004,5004.0,St-Charles / Grant,45.539824,-73.508752,3.3771428571428572
6,146,386,589,5005,5005.0,St-Charles / St-Jean,45.53690747306937,-73.51191401481627,4.034246575342466
7,191,796,996,5006,5006.0,Collège Édouard-Montpetit (de Gentilly / de Normandie),45.53722603812578,-73.49506705999374,5.214659685863874
8,196,2337,3058,5007,5007.0,Métro Longueuil - Université de Sherbrooke,45.52331869398737,-73.52012693881989,15.60204081632653
9,199,7596,9816,6001,6001.0,Métro Champ-de-Mars (Viger / Sanguinet),45.51035067563653,-73.55650842189789,49.32663316582914
10,197,6235,7703,6002,6002.0,Ste-Catherine / Dezery,45.53938508196168,-73.54099988937377,39.101522842639596
11,199,9065,11206,6003,6003.0,Clark / Evans,45.51100666600306,-73.56760203838348,56.311557788944725
12,198,5598,7678,6004,6004.0,du Champ-de-Mars / Gosford,45.50965520472071,-73.55400860309601,38.77777777777778
13,194,10542,12575,6005,6005.0,Metcalfe / du Square-Dorchester,45.500208064155046,-73.57113786041737,64.81958762886597
14,199,5402,6240,6006,6006.0,18e avenue / Rosemont,45.55789545752947,-73.5765291005373,31.35678391959799
15,181,4508,5956,6007,6007.0,de l'Hôtel-de-Ville / Ste-Catherine,45.51166045593874,-73.56213569641113,32.9060773480663
16,199,7004,8799,6008,6008.0,Sanguinet / Ste-Catherine,45.51279685582333,-73.56146247242577,44.21608040201005
17,182,8976,12080,6009,6009.0,Crescent / de Maisonneuve,45.49811161443597,-73.57761539518833,66.37362637362638
18,198,9343,10414,6011,6011.0,St-André / St-Antoine,45.51411452790017,-73.55264469981194,52.5959595959596
19,199,19314,25100,6012,6012.0,Métro St-Laurent (de Maisonneuve / St-Laurent),45.51066,-73.56497,126.13065326633166
20,199,9258,11475,6013,6013.0,Sanguinet / de Maisonneuve,45.51340553558378,-73.56259435415267,57.663316582914575
21,199,8448,10358,6014,6014.0,St-Denis / René-Lévesque,45.51287121578035,-73.55846643447876,52.050251256281406
22,199,22331,27920,6015,6015.0,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273,140.30150753768845
23,195,1803,2356,6016,6016.0,Jacques-Le Ber / de la Pointe Nord,45.472503,-73.539285,12.082051282051282
24,199,6872,8069,6017,6017.0,Atateken / du Square Amherst,45.52063377251984,-73.56390595436096,40.54773869346734
25,199,9050,10448,6018,6018.0,St-André / Ontario,45.51889,-73.56353,52.50251256281407
26,199,21149,24326,6019,6019.0,Métro Sherbrooke (de Rigaud / Berri),45.51799893773692,-73.56818407773972,122.24120603015075
27,186,9420,12198,6020,6020.0,Sanguinet / Ontario,45.51476724402057,-73.56549113988876,65.58064516129032
28,199,13339,15733,6021,6021.0,de l'Hôtel-de-Ville / Sherbrooke,45.5145646696576,-73.56840670108795,79.06030150753769
29,199,8149,9385,6022,6022.0,William-Tremblay / Molson,45.541719808901306,-73.56517732143402,47.1608040201005
30,199,13194,24504,6023,6023.0,de la Commune / Berri,45.51086,-73.54983,123.1356783919598
31,119,341,570,6024,6024.0,Bellerive / Duchesneau,45.60761595633475,-73.50982189178467,4.7899159663865545
32,198,3928,6488,6025,6025.0,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,32.76767676767677
33,199,10709,29050,6026,6026.0,de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,145.97989949748742
34,199,16985,19874,6027,6027.0,de Maisonneuve / Mansfield (sud),45.502053864057466,-73.57346534729004,99.86934673366834
35,195,3666,4066,6029,6029.0,Bourget / St-Jacques,45.48084576334506,-73.58386158943176,20.851282051282052
36,194,3812,6117,6031,6031.0,de Maisonneuve / Robert-Bourassa,45.50426292830073,-73.57152342796326,31.530927835051546
37,199,6616,10649,6032,6032.0,Métro Place-d'Armes (Viger / St-Urbain),45.50623,-73.55976,53.51256281407035
38,198,2711,3116,6033,6033.0,16e avenue / Beaubien,45.55828063767652,-73.58315885066986,15.737373737373737
40,196,3379,4389,6035,6035.0,Viger / Chenneville,45.50531166520915,-73.56089115142822,22.392857142857142
41,199,12860,30293,6036,6036.0,de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,152.22613065326632
42,199,6140,9422,6037,6037.0,St-Nicolas / Place d'Youville,45.501966859101564,-73.55515256524086,47.346733668341706
43,199,11570,14994,6038,6038.0,McGill / Place d'Youville,45.49975,-73.55566,75.34673366834171
44,199,9864,12647,6039,6039.0,McGill / des Récollets,45.500779,-73.558826,63.552763819095475
45,188,6992,9690,6040,6040.0,St-Jacques / St-Pierre,45.50278649802565,-73.55913430452347,51.54255319148936
46,192,8341,9850,6041,6041.0,St-Jacques / McGill,45.50144108135568,-73.56014415621758,51.302083333333336
47,199,11336,12674,6042,6042.0,de la Gauchetière / Robert-Bourassa,45.50060578095098,-73.56544822454453,63.688442211055275
48,199,22067,25212,6043,6043.0,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,126.69346733668341
49,199,13232,15014,6044,6044.0,Roy / St-André,45.521564270906616,-73.57036739587784,75.44723618090453
50,199,15090,16838,6046,6046.0,Métro Bonaventure (de la Gauchetière / de la Cathédrale),45.49831217703312,-73.56725603342056,84.61306532663316
51,198,10606,12291,6047,6047.0,University / Prince-Arthur,45.507401678946415,-73.57844352722168,62.07575757575758
52,193,5890,6467,6048,6048.0,William / St-Henri,45.49891911390352,-73.55725407600403,33.50777202072539
53,196,12618,13829,6049,6049.0,Queen / Wellington,45.49760527699099,-73.55534970760345,70.5561224489796
54,184,5531,6436,6050,6050.0,St-Maurice / Robert-Bourassa,45.49857779102015,-73.56024205684662,34.97826086956522
55,199,5879,6532,6051,6051.0,de Gaspé / Marmier,45.529686,-73.601728,32.824120603015075
56,199,22646,36738,6052,6052.0,de la Commune / King,45.49751503379366,-73.55257093906403,184.61306532663318
57,199,20269,25395,6053,6053.0,du Président-Kennedy / Jeanne-Mance,45.50820461505136,-73.56881439685822,127.61306532663316
58,199,11320,12931,6057,6057.0,Peel / de la Gauchetiere,45.4977183451679,-73.5681800544262,64.97989949748744
59,199,9197,10886,6058,6058.0,Cypress / Peel,45.49932551028458,-73.57176750898361,54.7035175879397
60,198,9050,11065,6059,6059.0,de la Cathédrale / René-Lévesque,45.499191207076606,-73.56942057609558,55.88383838383838
61,198,4069,4826,6060,6060.0,Belmont / Robert-Bourassa,45.501366848348894,-73.56583714485167,24.373737373737374
62,139,6856,8539,6061,6061.0,Mansfield / Ste-Catherine,45.50139870932151,-73.57178628444672,61.431654676258994
63,199,8548,11002,6062,6062.0,Drummond / Ste-Catherine,45.49863930330429,-73.57422709465027,55.28643216080402
64,199,12751,15471,6063,6063.0,Drummond / de Maisonneuve,45.49947,-73.57591,77.74371859296483
65,199,23513,27396,6064,6064.0,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,137.66834170854273
66,192,7839,10226,6065,6065.0,de la Montagne / Sherbrooke,45.49974475043378,-73.57903361320496,53.260416666666664
67,198,4361,7084,6066,6066.0,McTavish / des Pins,45.50530549708951,-73.58100235462189,35.77777777777778
68,199,8451,9977,6067,6067.0,Porte-de-Québec / St-Hubert,45.51249475526989,-73.55087846517563,50.1356783919598
69,191,1670,2086,6068,6068.0,2e avenue / Jean-Rivard,45.56250903804892,-73.61656039953232,10.921465968586388
70,193,24313,28587,6070,6070.0,Milton / University,45.5064484,-73.57634872,148.11917098445596
71,199,9935,11399,6072,6072.0,Metcalfe / de Maisonneuve,45.50171494932855,-73.57413053512573,57.28140703517588
72,199,25006,28942,6073,6073.0,de Maisonneuve / Aylmer (ouest),45.50501,-73.57069,145.43718592964825
73,198,5017,6486,6075,6075.0,University / des Pins,45.50829509569767,-73.58064293861388,32.75757575757576
74,199,3235,3699,6076,6076.0,de Ville-Marie / Ste-Catherine,45.55792114867545,-73.52914720773697,18.587939698492463
75,139,5220,6675,6078,6078.0,St-Alexandre / Ste-Catherine,45.50538225593995,-73.56763422489166,48.02158273381295
76,199,10507,12515,6079,6079.0,Hutchison / Prince-Arthur,45.50975858607626,-73.57610732316971,62.88944723618091
77,195,18411,21712,6080,6080.0,Métro Vendôme (de Marlowe / de Maisonneuve),45.47393028235147,-73.60473453998564,111.34358974358975
78,178,5323,6710,6081,6081.0,Mackay / Ste-Catherine,45.49570931691902,-73.5769522190094,37.69662921348315
79,189,2960,3432,6082,6082.0,5e avenue / Rosemont,45.54990048023633,-73.58308374881744,18.158730158730158
80,199,16254,19242,6083,6083.0,Square Phillips,45.50373771539475,-73.56810629367828,96.69346733668341
81,199,6936,8682,6084,6084.0,Duke / Brennan,45.495581350533946,-73.55371087789534,43.62814070351759
82,199,11623,13807,6085,6085.0,Notre-Dame / Peel,45.4952,-73.56328,69.38190954773869
83,154,5208,7445,6086,6086.0,Basin / du Séminaire,45.49045242854756,-73.56017231941223,48.34415584415584
84,199,15509,17981,6087,6087.0,Notre-Dame / de la Montagne,45.49302901258371,-73.56481790542603,90.35678391959799
85,187,7920,9677,6088,6088.0,Richmond / Notre-Dame,45.4891601257399,-73.56777101755141,51.74866310160428
86,198,7579,8163,6089,6089.0,Henri-Julien / du Carmel,45.527839413108,-73.59482109546661,41.22727272727273
87,199,7499,8552,6090,6090.0,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),45.49487159597493,-73.57112377882004,42.97487437185929
88,199,7231,8605,6091,6091.0,Joseph-Manseau / René-Lévesque,45.49168652100804,-73.57676714658737,43.24120603015076
89,189,7679,10640,6092,6092.0,Crescent / Ste-Catherine,45.49709201687824,-73.57554942369461,56.2962962962963
90,199,5636,6839,6093,6093.0,Atwater / Sherbrooke,45.4912258547597,-73.58763009309769,34.36683417085427
91,199,6798,7653,6094,6094.0,de Gaspé / Fairmount,45.52564776553033,-73.5929274559021,38.45728643216081
92,199,17176,20162,6095,6095.0,Chomedey / de Maisonneuve,45.49180027678722,-73.58400642871855,101.31658291457286
93,199,5882,6714,6096,6096.0,Lucien L'Allier / St-Jacques,45.49356916133978,-73.56857568025589,33.73869346733668
94,199,10876,13265,6097,6097.0,Ste-Catherine / St-Marc,45.492897397177465,-73.58029425144196,66.65829145728644
95,199,6738,8470,6098,6098.0,Bishop / Ste-Catherine,45.49658329569871,-73.5765016078949,42.562814070351756
96,199,12659,17191,6099,6099.0,Ste-Catherine / Labelle,45.51506508398211,-73.55922952294348,86.38693467336684
97,178,29872,35529,6100,6100.0,Mackay / de Maisonneuve,45.49659,-73.57851,199.6011235955056
98,199,8033,9172,6101,6101.0,Métro Villa-Maria (Décarie / de Monkland),45.479483,-73.61979,46.09045226130653
99,185,4981,5664,6102,6102.0,Lincoln / du Fort,45.493034,-73.583836,30.616216216216216
100,183,2678,3056,6103,6103.0,du Havre / Hochelaga,45.535753085274585,-73.55794072151183,16.69945355191257
101,193,10077,11722,6104,6104.0,Wolfe / René-Lévesque,45.51681750463149,-73.5541883111,60.73575129533679
102,193,6972,7836,6105,6105.0,Plessis / René-Lévesque,45.51937252291976,-73.55195805430411,40.601036269430054
103,199,4003,5342,6106,6106.0,Papineau / René-Lévesque,45.52114,-73.54926,26.844221105527637
104,198,12299,15475,6107,6107.0,St-Mathieu / Ste-Catherine,45.49367956421703,-73.57914626598358,78.15656565656566
105,199,6596,7632,6108,6108.0,Logan / Fullum,45.52836601591233,-73.55117082595825,38.35175879396985
106,184,1088,4137,6109,6109.0,Quai de la navette fluviale,45.513741443172,-73.53838205337523,22.483695652173914
107,199,4925,5824,6110,6110.0,Poupart / Ste-Catherine,45.52900206660643,-73.54619935154915,29.266331658291456
108,198,6763,7731,6111,6111.0,Parthenais / Ste-Catherine,45.52600589494234,-73.54886412620544,39.04545454545455
109,199,13768,16519,6112,6112.0,Montcalm / de Maisonneuve,45.519139183741046,-73.55786561965942,83.01005025125629
110,186,6332,8003,6113,6113.0,Alexandre-DeSève / Ste-Catherine,45.52123044585842,-73.55386108160019,43.026881720430104
111,199,20930,25658,6114,6114.0,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,128.93467336683418
112,198,2606,3144,6115,6115.0,Benny / de Monkland,45.46685123845205,-73.63162770867348,15.878787878787879
113,199,8988,10338,6116,6116.0,Plessis / Ontario,45.52349210923463,-73.56073021888733,51.949748743718594
114,122,5653,6759,6117,6117.0,de Maisonneuve / Aylmer (est),45.50526304478131,-73.57048004865646,55.40163934426229
115,199,11144,12859,6118,6118.0,de Champlain / Ontario,45.52510954917077,-73.56020584702492,64.61809045226131
116,199,12314,14699,6119,6119.0,Ontario / de Lorimier,45.52773089755533,-73.55753839015959,73.8643216080402
117,199,9845,11303,6120,6120.0,Métro Frontenac (Ontario / du Havre),45.53370598779895,-73.55217933654784,56.79899497487437
118,198,3830,4466,6121,6121.0,du Havre / de Rouen,45.53456256501449,-73.55478646466509,22.555555555555557
119,198,2977,3451,6122,6122.0,Logan / d'Iberville,45.53057,-73.54913,17.42929292929293
120,198,4165,4879,6123,6123.0,Alexandre-DeSève / la Fontaine,45.52327641182773,-73.55821833014488,24.641414141414142
121,199,5779,6993,6124,6124.0,Poupart / Ontario,45.53193889278052,-73.55343863368034,35.14070351758794
122,197,3299,4034,6125,6125.0,Ellendale / de la Côte-des-Neiges,45.499757,-73.629298,20.477157360406093
123,199,6629,7444,6126,6126.0,Fullum / de Rouen,45.53213680524969,-73.55871319770813,37.4070351758794
124,194,7249,8414,6127,6127.0,de Gaspé / Jean-Talon,45.536582447959766,-73.61622512340546,43.371134020618555
125,198,3209,3714,6128,6128.0,Hogan / Ontario,45.53529548038031,-73.55116009712219,18.757575757575758
126,199,9759,11245,6129,6129.0,de Bordeaux / Sherbrooke,45.52997069129102,-73.56305301189423,56.50753768844221
127,194,4329,4972,6130,6130.0,Sherbrooke / Frontenac,45.5367,-73.56081,25.628865979381445
128,199,12501,14649,6131,6131.0,Fullum / Sherbrooke,45.533924,-73.562425,73.61306532663316
129,198,8566,9756,6132,6132.0,Larivière / de Lorimier,45.5291345371163,-73.55923354625702,49.27272727272727
130,192,8059,9358,6133,6133.0,Chapleau / Terrasse Mercure,45.53673838509649,-73.56516659259796,48.739583333333336
131,199,6787,7722,6134,6134.0,Bercy / Rachel,45.53840340979245,-73.56196403503418,38.80402010050251
132,197,42704,46684,6136,6136.0,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,236.9746192893401
133,198,14388,16465,6137,6137.0,Cartier / Gauthier,45.53034708827074,-73.56698781251907,83.15656565656566
134,199,11482,13037,6138,6138.0,Gauthier / de Lorimier,45.53167355364312,-73.56541335582732,65.51256281407035
135,199,7092,8085,6139,6139.0,Gauthier / Parthenais,45.53292625574653,-73.56377989053726,40.62814070351759
136,199,14428,16606,6140,6140.0,Marquette / Rachel,45.5298015824607,-73.5702896118164,83.44723618090453
137,179,7652,8891,6141,6141.0,des Érables / Rachel,45.53354753725336,-73.5668671131134,49.67039106145251
138,194,14493,18824,6142,6142.0,Calixa-Lavallée / Rachel,45.527794785525096,-73.57193917036057,97.03092783505154
139,199,15154,20264,6143,6143.0,Rachel / de Brébeuf,45.52689,-73.57264,101.82914572864321
140,199,8865,11548,6145,6145.0,du Parc-La Fontaine / Duluth,45.52451761488783,-73.57197672128677,58.030150753768844
141,199,9541,12333,6146,6146.0,du Parc-La Fontaine / Roy,45.52317047138824,-73.56901288032532,61.97487437185929
142,199,14597,17054,6147,6147.0,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,85.69849246231156
143,199,18437,21292,6148,6148.0,Émile-Duployé / Sherbrooke,45.52720058937288,-73.56472939252852,106.99497487437186
144,199,6942,7916,6149,6149.0,Chapleau / du Mont-Royal,45.53867,-73.56936,39.778894472361806
145,199,10541,11949,6150,6150.0,Messier / du Mont-Royal,45.53711414,-73.5710031,60.04522613065327
146,199,11704,13911,6151,6151.0,Parthenais / du Mont-Royal,45.53646917409483,-73.57146307826042,69.90452261306532
147,199,18526,21259,6152,6152.0,Chabot / du Mont-Royal,45.53418509490266,-73.57358872890472,106.82914572864321
148,195,8466,9465,6153,6153.0,Cartier / Marie-Anne,45.532674,-73.571776,48.53846153846154
149,199,25999,29245,6154,6154.0,Marquette / du Mont-Royal,45.53229,-73.57544,146.95979899497488
150,199,21292,23920,6155,6155.0,Garnier / du Mont-Royal,45.53092,-73.57674,120.20100502512562
151,199,11415,12870,6156,6156.0,Marie-Anne / de la Roche,45.52775814390426,-73.57618510723114,64.67336683417085
152,196,17387,21005,6157,6157.0,de Brébeuf / du Mont-Royal,45.52940777616881,-73.57815384864807,107.16836734693878
153,199,9787,11123,6158,6158.0,Gilford / de Brébeuf,45.53081622781595,-73.58162596821785,55.89447236180904
154,170,4077,4829,6159,6159.0,Ann / Wellington,45.49452705626516,-73.55675250291823,28.405882352941177
155,199,8440,9402,6160,6160.0,Garnier / St-Joseph,45.5329774553515,-73.58122229576111,47.246231155778894
156,199,7110,7974,6161,6161.0,Cartier / St-Joseph,45.53582823686429,-73.57869029045105,40.07035175879397
157,175,1506,1849,6162,6162.0,Legendre / Henri-Julien,45.54612387708119,-73.64664673805237,10.565714285714286
158,199,17121,19629,6163,6163.0,Marquette / Laurier,45.53543,-73.5822,98.63819095477388
159,196,13178,14898,6164,6164.0,de Lanaudière / Laurier,45.5333136054992,-73.58373686671257,76.01020408163265
160,199,19588,23390,6165,6165.0,Laurier / de Brébeuf,45.53251395631143,-73.58481109142303,117.53768844221105
161,199,12186,13603,6166,6166.0,Gerry-Boulet / St-Grégoire,45.5337352275406,-73.589306473732,68.35678391959799
162,198,6559,7334,6167,6167.0,Marquette / St-Grégoire,45.53703,-73.58584,37.04040404040404
163,199,9892,10983,6168,6168.0,Marmier / St-Denis,45.530871318676006,-73.59834551811218,55.19095477386934
164,199,22409,26818,6169,6169.0,Boyer / du Mont-Royal,45.527432126380575,-73.57991673052311,134.76381909547737
165,199,10612,12960,6170,6170.0,de Mentana / Laurier,45.53045006508681,-73.58763813972473,65.12562814070351
166,199,6127,7204,6171,6171.0,Wolfe / Robin,45.51958082831579,-73.5601159930229,36.20100502512563
167,190,15642,18270,6173,6173.0,Berri / Cherrier,45.51908844137639,-73.56950908899307,96.15789473684211
168,193,14627,17450,6174,6174.0,Roy / St-Denis,45.51908,-73.5727,90.41450777202073
169,199,14427,16262,6175,6175.0,St-Christophe / Cherrier,45.52027785033668,-73.5682162642479,81.71859296482413
170,199,12894,17258,6176,6176.0,de Mentana / Rachel,45.52496323980324,-73.57555881142616,86.72361809045226
171,199,11172,13545,6177,6177.0,St-Hubert / Duluth,45.52242565278864,-73.57418417930603,68.06532663316582
172,199,16910,20495,6178,6178.0,Rivard / Rachel,45.5222776,-73.5775906,102.98994974874371
173,190,10975,13376,6179,6179.0,Duluth / St-Denis,45.52060423232697,-73.57598394155502,70.4
174,199,7183,9708,6180,6180.0,St-Dominique / René-Lévesque,45.5094183667176,-73.56135785579681,48.78391959798995
175,198,17480,20964,6181,6181.0,Clark / Rachel,45.5173538,-73.58212888,105.87878787878788
176,199,9178,11346,6182,6182.0,de Bullion / du Mont-Royal,45.52175120848515,-73.58526840806007,57.015075376884425
177,199,12952,15529,6183,6183.0,Laval / du Mont-Royal,45.5223645775784,-73.58414590358734,78.03517587939699
178,199,36667,42827,6184,6184.0,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,215.2110552763819
179,177,3238,3594,6185,6185.0,des Érables / Bélanger,45.54912085535069,-73.60087350010872,20.305084745762713
180,174,10053,11377,6186,6186.0,St-Hubert / Laurier,45.52931012171625,-73.58865737915039,65.38505747126437
181,199,16944,20173,6187,6187.0,Resther / du Mont-Royal,45.52562819123256,-73.58177483081818,101.37185929648241
182,199,8175,9215,6188,6188.0,de Mentana / Marie-Anne,45.52602656522141,-73.57785880565643,46.30653266331658
183,196,3282,3862,6189,6189.0,Chabot / Everett,45.55072306022627,-73.60957056283951,19.70408163265306
184,199,17937,19639,6190,6190.0,Pontiac / Gilford,45.527009334270645,-73.58576595783234,98.68844221105527
185,199,9191,11339,6191,6191.0,St-Zotique / Clark,45.531401,-73.612674,56.97989949748744
186,180,6041,6600,6192,6192.0,Berri / St-Grégoire,45.52996959525513,-73.5919028520584,36.666666666666664
