,day,emplacement_pk_start,index,pk,name,latitude,longitude,trip_per_day_2022
0,178,1394,9,9.0,LaSalle / 90e avenue,45.417294,-73.6443,7.831460674157303
1,201,6682,10,10.0,Métro Angrignon (Lamont /  des Trinitaires),45.44691,-73.60363,33.243781094527364
2,202,11992,13,13.0,Métro de l'Église (Ross / de l'Église),45.462726,-73.565959,59.366336633663366
3,200,3739,17,17.0,Tolhurst / Fleury,45.544149,-73.66752,18.695
4,28,1256,33,33.0,University / des Pins,45.508203,-73.580112,44.857142857142854
5,202,25308,38,38.0,Métro Vendôme (de Marlowe / de Maisonneuve),45.473868,-73.604538,125.2871287128713
6,202,19728,43,43.0,Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),45.50367,-73.61848,97.66336633663366
7,104,18115,47,47.0,Métro Guy-Concordia (Guy / St-Catherine),45.495045,-73.57783,174.18269230769232
8,201,3213,65,65.0,Bel Air / St-Antoine,45.482778,-73.584621,15.985074626865671
9,194,3212,75,75.0,St-Joseph / 8e avenue Lachine,45.43155,-73.67112,16.556701030927837
10,176,668,78,78.0,8e avenue / Notre-Dame Lachine,45.434898,-73.670819,3.7954545454545454
11,197,1226,79,79.0,Victoria / 18e avenue Lachine,45.435996,-73.680111,6.223350253807107
12,202,29073,84,84.0,Parthenais / du Mont-Royal,45.536346,-73.57131,143.9257425742574
13,201,4966,86,86.0,Parc Pratt (Dunlop / Van Horne),45.515007,-73.619788,24.70646766169154
14,85,2630,89,89.0,Darling / Sherbrooke,45.545328,-73.556352,30.941176470588236
15,202,16586,92,92.0,Métro Rosemont (de St-Vallier / Rosemont),45.531783,-73.597793,82.10891089108911
16,202,9360,99,99.0,7e avenue / St-Joseph Rosemont,45.547108,-73.569367,46.336633663366335
17,202,9588,100,100.0,16e avenue / St-Joseph,45.55287,-73.565631,47.46534653465346
18,200,5751,125,125.0,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),45.559872,-73.615541,28.755
19,201,4644,126,126.0,Rousselot / Jarry,45.550899,-73.62108,23.104477611940297
20,104,3646,129,129.0,de la Salle / Ontario,45.551862,-73.540228,35.05769230769231
21,131,713,132,132.0,St-Charles / Labonté,45.535266,-73.51398,5.442748091603053
22,202,16641,135,135.0,St-Alexandre / Ste-Catherine,45.505359,-73.567741,82.38118811881188
23,202,17176,137,137.0,Jeanne-d'Arc / Ontario,45.549598,-73.541874,85.02970297029702
24,202,6888,139,139.0,d'Orléans / Hochelaga,45.550768,-73.549427,34.0990099009901
25,202,11628,141,141.0,Marché Maisonneuve,45.553219,-73.539782,57.56435643564357
26,202,7540,142,142.0,Ontario / Sicard,45.556262,-73.537441,37.32673267326733
27,202,6319,143,143.0,de Ville-Marie / Ste-Catherine,45.557921,-73.529147,31.282178217821784
28,202,7786,144,144.0,Ontario / Viau,45.559482,-73.535496,38.54455445544554
29,202,24314,145,145.0,Gauthier / Papineau,45.529666,-73.567336,120.36633663366337
30,198,14018,146,146.0,Gauthier / de Lorimier,45.531674,-73.565413,70.79797979797979
31,202,10168,147,147.0,Gauthier / Parthenais,45.532926,-73.56378,50.336633663366335
32,202,12775,148,148.0,de Bordeaux / Marie-Anne,45.533409,-73.570657,63.242574257425744
33,202,16099,149,149.0,des Érables / Rachel,45.533547,-73.566867,79.6980198019802
34,201,10908,152,152.0,Bercy / Rachel,45.538403,-73.561964,54.26865671641791
35,202,11937,153,153.0,Ste-Catherine / Dezery,45.539385,-73.541,59.09405940594059
36,202,15849,154,154.0,Dézéry / Ontario,45.54111,-73.54755,78.46039603960396
37,202,14206,155,155.0,Métro Préfontaine (Moreau / Hochelaga),45.54178,-73.555714,70.32673267326733
38,201,8826,156,156.0,Valois / Ste-Catherine,45.54523,-73.53725,43.91044776119403
39,202,5309,157,157.0,St-Germain / Hochelaga,45.543699,-73.553673,26.282178217821784
40,202,23573,158,158.0,Aylwin / Ontario,45.544284,-73.54534,116.6980198019802
41,202,16451,159,159.0,Métro Joliette  (Joliette / Hochelaga),45.546907,-73.551557,81.44059405940594
42,202,7213,161,161.0,Nicolet / Sherbrooke,45.549695,-73.554647,35.70792079207921
43,202,4912,162,162.0,Métro Assomption (Chauveau / de l'Assomption),45.569789,-73.548081,24.316831683168317
44,89,2651,164,164.0,Métro Cadillac (de Cadillac / Sherbrooke),45.576963,-73.546836,29.786516853932586
45,89,2651,164,164.0,Cadillac / Sherbrooke,45.576963,-73.546836,29.786516853932586
46,201,2565,165,165.0,Pierre-de-Coubertin / Langelier,45.580315,-73.535314,12.761194029850746
47,201,4809,166,166.0,Métro Langelier (Langelier / Sherbrooke),45.582847,-73.542476,23.925373134328357
48,202,45754,167,167.0,Boyer / du Mont-Royal,45.527432,-73.579917,226.5049504950495
49,185,23133,168,168.0,Calixa-Lavallée / Rachel,45.527795,-73.571939,125.04324324324324
50,201,37938,169,169.0,de Brébeuf / du Mont-Royal,45.529408,-73.578154,188.7462686567164
