Field1,day,is_member,start_stat,index,Code,name,latitude,longitude,trip_per_d,cluster,FID1,FID_1,Field1_1,day_1,is_membe_1,start_st_1,index_1,Code_1,name_1,latitude_x,longitude_,year_x,trip_c,emplacemen,pk,FID_,latitude_y,longitude1,year_y,X_x,Y_x,cluster_1,X_y,Y_y,X_mean,Y_mean,FID_2,DAUID,CDNAME,DAU,OID_,DAU_1,pop_2016,popden,age_0_14,age_15_30,age_30_45,age_p_45,lang_e,lang_f,lang_ef,inc_em,inc_aft,inc_low_,edu_unideg,to_work_ca,to_work_pt,to_work_wa,to_work_bi
0,199,8107,9192,4000,4000,Jeanne-d'Arc / Ontario,45.54959768000,-73.54187429000,46.19095477000,467,0,0,1,202,0.00000000000,0.00000000000,137,0.00000000000,Jeanne-d'Arc / Ontario,45.54959800000,-73.54187400000,2022,17176,17176.00000000000,137.00000000000,642,45.54959800000,-73.54187400000,2022,301530,5045520,467,301530.00000000000,5045520.00000000000,301530.00000000000,5045520.00000000000,2061,24661765,Montr?Ñal,24661765,1621,24661765,906,12851.10000000000,0.10485651200,0.22075055200,0.38631346600,0.28807947000,0.01666666700,0.35555555600,0.61666666700,48000,40960,0.27200000000,0.29357798200,0.31958762900,0.52577319600,0.08247422700,0.06185567000
1,164,1152,1574,4001,4001,Graham / Brookfield,45.52007477000,-73.62977564000,9.59756097600,193,0,1,3,202,0.00000000000,0.00000000000,694,0.00000000000,Graham / Brookfield,45.52022200000,-73.62985600000,2022,4410,4410.00000000000,694.00000000000,1101,45.52022200000,-73.62985600000,2022,294655,5042260,193,294658.50000000000,5042255.00000000000,294658.50000000000,5042255.00000000000,2498,24661572,Montr?Ñal,24661572,1441,24661572,602,8257.90000000000,0.20764119600,0.17441860500,0.35714285700,0.26079734200,0.10743801700,0.19834710700,0.66942148800,54016,49280,0.28900000000,0.41420118300,0.53191489400,0.40425531900,0.06382978700,0.00000000000
2,196,2814,3762,4002,4002,Graham / Wicksteed,45.51693655000,-73.64048302000,19.19387755000,290,0,2,5,202,0.00000000000,0.00000000000,834,0.00000000000,Graham / Wicksteed,45.51693650000,-73.64048300000,2022,4400,4400.00000000000,834.00000000000,1140,45.51693650000,-73.64048300000,2022,293824,5041900,290,293824.00000000000,5041900.00000000000,293824.00000000000,5041900.00000000000,2502,24661576,Montr?Ñal,24661576,1445,24661576,600,5741.60000000000,0.19166666700,0.15000000000,0.20833333300,0.45000000000,0.06666666700,0.14166666700,0.77500000000,113792,84352,0.10000000000,0.42857142900,0.61363636400,0.27272727300,0.04545454500,0.00000000000
3,180,476,682,5002,5002,St-Charles / Montarville,45.53368199000,-73.51526074000,3.78888888900,466,0,3,7,185,0.00000000000,0.00000000000,529,0.00000000000,St-Charles / Montarville,45.53368200000,-73.51526100000,2022,729,729.00000000000,529.00000000000,971,45.53368200000,-73.51526100000,2022,303608,5043750,466,303608.00000000000,5043750.00000000000,303608.00000000000,5043750.00000000000,0,,,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
4,163,360,503,5003,5003,Place Longueuil,45.52841044000,-73.51716578000,3.08588957100,628,0,4,9,182,0.00000000000,0.00000000000,528,0.00000000000,Place Longueuil,45.52841000000,-73.51716600000,2022,856,856.00000000000,528.00000000000,970,45.52841000000,-73.51716600000,2022,303459,5043170,628,303459.00000000000,5043170.00000000000,303459.00000000000,5043170.00000000000,0,,,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
5,175,411,591,5004,5004,St-Charles / Grant,45.53982400000,-73.50875200000,3.37714285700,514,0,5,11,193,0.00000000000,0.00000000000,531,0.00000000000,St-Charles / Grant,45.53982400000,-73.50875200000,2022,970,970.00000000000,531.00000000000,973,45.53982400000,-73.50875200000,2022,304116,5044430,514,304116.00000000000,5044430.00000000000,304116.00000000000,5044430.00000000000,0,,,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
6,146,386,589,5005,5005,St-Charles / St-Jean,45.53690747000,-73.51191401000,4.03424657500,16,0,6,13,61,0.00000000000,0.00000000000,862,0.00000000000,St-Charles / St-Sylvestre,45.53634380000,-73.51277770000,2022,288,288.00000000000,862.00000000000,1154,45.53634380000,-73.51277770000,2022,303802,5044050,16,303836.00000000000,5044080.00000000000,303836.00000000000,5044080.00000000000,0,,,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
7,191,796,996,5006,5006,Coll?Ðge ?ëdouard-Montpetit (de Gentilly / de Normandie),45.53722604000,-73.49506706000,5.21465968600,503,0,7,15,197,0.00000000000,0.00000000000,530,0.00000000000,Coll?Ðge ?ëdouard-Montpetit (de Gentilly / de Normandie),45.53722600000,-73.49506700000,2022,1446,1446.00000000000,530.00000000000,972,45.53722600000,-73.49506700000,2022,305185,5044150,503,305185.00000000000,5044150.00000000000,305185.00000000000,5044150.00000000000,0,,,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
8,196,2337,3058,5007,5007,M?Ñtro Longueuil - Universit?Ñ de Sherbrooke,45.52331869000,-73.52012694000,15.60204082000,517,0,8,17,202,0.00000000000,0.00000000000,527,0.00000000000,M?Ñtro Longueuil - Universit?Ñ de Sherbrooke,45.52331900000,-73.52012700000,2022,4689,4689.00000000000,527.00000000000,969,45.52331900000,-73.52012700000,2022,303228,5042600,517,303228.00000000000,5042600.00000000000,303228.00000000000,5042600.00000000000,0,,,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
9,199,7596,9816,6001,6001,M?Ñtro Champ-de-Mars (Viger / Sanguinet),45.51035068000,-73.55650842000,49.32663317000,482,0,9,19,202,0.00000000000,0.00000000000,410,0.00000000000,M?Ñtro Champ-de-Mars (Viger / Sanguinet),45.51035100000,-73.55650800000,2022,14979,14979.00000000000,410.00000000000,875,45.51035100000,-73.55650800000,2022,300385,5041160,482,300385.00000000000,5041160.00000000000,300385.00000000000,5041160.00000000000,348,24661259,Montr?Ñal,24661259,1154,24661259,344,3602.10000000000,0.02906976700,0.11627907000,0.20348837200,0.65116279100,0.11594202900,0.21739130400,0.40579710100,19878,19878,0.54500000000,0.29213483100,0.20000000000,0.44000000000,0.28000000000,0.00000000000
10,197,6235,7703,6002,6002,Ste-Catherine / Dezery,45.53938508000,-73.54099989000,39.10152284000,595,0,10,21,202,0.00000000000,0.00000000000,153,0.00000000000,Ste-Catherine / Dezery,45.53938500000,-73.54100000000,2022,11937,11937.00000000000,153.00000000000,654,45.53938500000,-73.54100000000,2022,301598,5044390,595,301598.00000000000,5044390.00000000000,301598.00000000000,5044390.00000000000,1917,24661917,Montr?Ñal,24661917,1767,24661917,727,2234.20000000000,0.09628610700,0.25447042600,0.39202200800,0.25722145800,0.02777777800,0.38194444400,0.58333333300,38080,35520,0.34000000000,0.30851063800,0.40000000000,0.42857142900,0.08571428600,0.05714285700
11,199,9065,11206,6003,6003,Clark / Evans,45.51100667000,-73.56760204000,56.31155779000,13,0,11,23,169,0.00000000000,0.00000000000,855,0.00000000000,Clark / Ontario,45.51062460000,-73.56690330000,2022,18621,18621.00000000000,855.00000000000,1150,45.51062460000,-73.56690330000,2022,299572,5041190,13,299526.33333300000,5041220.00000000000,299526.33333300000,5041220.00000000000,2824,24662114,Montr?Ñal,24662114,1944,24662114,699,3221.20000000000,0.04291845500,0.37911301900,0.34334763900,0.23462088700,0.16312056700,0.13475177300,0.68794326200,53760,46677,0.29100000000,0.45267489700,0.19178082200,0.28767123300,0.43835616400,0.05479452100
