Field1,day,emplacemen,index,pk,name,latitude,longitude,trip_per_d,cluster,FID1,FID_1,Field1_1,day_1,is_member,start_stat,index_1,Code,name_1,latitude_x,longitude_,year_x,trip_c,emplacem_1,pk_1,FID_,latitude_y,longitude1,year_y,X_x,Y_x,cluster_1,X_y,Y_y,X_mean,Y_mean,FID_2,DAUID,CDNAME,DAU,OID_,DAU_1,pop_2016,popden,age_0_14,age_15_30,age_30_45,age_p_45,lang_e,lang_f,lang_ef,inc_em,inc_aft,inc_low_,edu_unideg,to_work_ca,to_work_pt,to_work_wa,to_work_bi
0,178,1394,9,9,LaSalle / 90e avenue,45.41729400000,-73.64430000000,7.83146067400,94,0,408,815,178,0.00000000000,0.00000000000,9,0.00000000000,LaSalle / 90e avenue,45.41729400000,-73.64430000000,2022,1394,1394.00000000000,9.00000000000,619,45.41729400000,-73.64430000000,2022,293506,5030830,94,293509.00000000000,5030820.00000000000,293509.00000000000,5030820.00000000000,762,24660946,Montr?—al,24660946,875,24660946,544,5511.70000000000,0.15625000000,0.19301470600,0.29411764700,0.35661764700,0.15596330300,0.21100917400,0.61467889900,56128,49195,0.23100000000,0.25925925900,0.71153846200,0.25000000000,0.03846153800,0.00000000000
2,202,11992,13,13,M?—tro de l'?Îglise (Ross / de l'?Îglise),45.46272600000,-73.56595900000,59.36633663000,248,0,381,761,202,0.00000000000,0.00000000000,13,0.00000000000,M?—tro de l'?Îglise (Ross / de l'?Îglise),45.46272600000,-73.56595900000,2022,11992,11992.00000000000,13.00000000000,621,45.46272600000,-73.56595900000,2022,299642,5035870,248,299643.50000000000,5035875.00000000000,299643.50000000000,5035875.00000000000,944,24661149,Montr?—al,24661149,1052,24661149,586,12032.90000000000,0.11092150200,0.23037542700,0.37542662100,0.28327645100,0.14529914500,0.25641025600,0.56410256400,38400,34816,0.29900000000,0.28767123300,0.10169491500,0.71186440700,0.08474576300,0.06779661000
3,200,3739,17,17,Tolhurst / Fleury,45.54414900000,-73.66752000000,18.69500000000,1,0,473,945,200,0.00000000000,0.00000000000,17,0.00000000000,Tolhurst / Fleury,45.54414900000,-73.66752000000,2022,3739,3739.00000000000,17.00000000000,622,45.54414900000,-73.66752000000,2022,291718,5044930,1,291746.00000000000,5044970.00000000000,291746.00000000000,5044970.00000000000,148,24660508,Montr?—al,24660508,497,24660508,539,6919.10000000000,0.25974026000,0.25046382200,0.23191094600,0.25788497200,0.03738317800,0.45794392500,0.48598130800,42368,38528,0.44400000000,0.15686274500,0.51428571400,0.45714285700,0.08571428600,0.05714285700
4,28,1256,33,33,University / des Pins,45.50820300000,-73.58011200000,44.85714286000,39,0,79,156,28,0.00000000000,0.00000000000,33,0.00000000000,University / des Pins,45.50820300000,-73.58011200000,2022,1256,1256.00000000000,33.00000000000,623,45.50820300000,-73.58011200000,2022,298540,5040920,39,298519.50000000000,5040925.00000000000,298519.50000000000,5040925.00000000000,1897,24663362,Montr?—al,24663362,3119,24663362,885,377.20000000000,0.09604519800,0.24858757100,0.24858757100,0.40677966100,0.19774011300,0.03954802300,0.75141242900,68864,57088,0.17300000000,0.51051051100,0.51851851900,0.34567901200,0.13580246900,0.00000000000
5,202,25308,38,38,M?—tro Vend??me (de Marlowe / de Maisonneuve),45.47386800000,-73.60453800000,125.28712870000,101,0,83,164,202,0.00000000000,0.00000000000,38,0.00000000000,M?—tro Vend??me (de Marlowe / de Maisonneuve),45.47386800000,-73.60453800000,2022,25308,25308.00000000000,38.00000000000,624,45.47386800000,-73.60453800000,2022,296627,5037110,101,296619.00000000000,5037115.00000000000,296619.00000000000,5037115.00000000000,2848,24662152,Montr?—al,24662152,1980,24662152,906,7012.40000000000,0.07174392900,0.33112582800,0.22626931600,0.37086092700,0.20000000000,0.03333333300,0.76000000000,46848,40960,0.26000000000,0.37967914400,0.25000000000,0.51388888900,0.19444444400,0.02777777800
6,202,19728,43,43,M?—tro Universit?— de Montr?—al (?Îdouard-Montpetit / Louis-Collin),45.50367000000,-73.61848000000,97.66336634000,64,0,484,967,202,0.00000000000,0.00000000000,43,0.00000000000,M?—tro Universit?— de Montr?—al (?Îdouard-Montpetit / Louis-Collin),45.50367000000,-73.61848000000,2022,19728,19728.00000000000,43.00000000000,625,45.50367000000,-73.61848000000,2022,295541,5040420,64,295561.00000000000,5040455.00000000000,295561.00000000000,5040455.00000000000,369,24661301,Montr?—al,24661301,1179,24661301,617,9872.00000000000,0.08103727700,0.52674230100,0.17017828200,0.22204213900,0.03252032500,0.15447154500,0.81300813000,28864,28224,0.41300000000,0.43119266100,0.35294117600,0.54901960800,0.13725490200,0.00000000000
7,104,18115,47,47,M?—tro Guy-Concordia (Guy / St-Catherine),45.49504500000,-73.57783000000,174.18269230000,77,0,474,947,104,0.00000000000,0.00000000000,47,0.00000000000,M?—tro Guy-Concordia (Guy / St-Catherine),45.49504500000,-73.57783000000,2022,18115,18115.00000000000,47.00000000000,626,45.49504500000,-73.57783000000,2022,298717,5039460,77,298720.25000000000,5039460.00000000000,298720.25000000000,5039460.00000000000,877,24661106,Montr?—al,24661106,1012,24661106,1134,3120.50000000000,0.05731922400,0.49823633200,0.26455026500,0.17989418000,0.35616438400,0.05479452100,0.54337899500,18784,18667,0.52600000000,0.43450479200,0.31168831200,0.32467532500,0.33766233800,0.02597402600
9,194,3212,75,75,St-Joseph / 8e avenue Lachine,45.43155000000,-73.67112000000,16.55670103000,174,0,567,1135,194,0.00000000000,0.00000000000,75,0.00000000000,St-Joseph / 8e avenue Lachine,45.43155000000,-73.67112000000,2022,3212,3212.00000000000,75.00000000000,628,45.43155000000,-73.67112000000,2022,291411,5032420,174,291407.50000000000,5032415.00000000000,291407.50000000000,5032415.00000000000,2757,24663395,Montr?—al,24663395,3152,24663395,603,3547.10000000000,0.14925373100,0.15754560500,0.28192371500,0.41127694900,0.05785124000,0.27272727300,0.66115702500,48704,42112,0.19800000000,0.21527777800,0.63636363600,0.25757575800,0.10606060600,0.00000000000
10,176,668,78,78,8e avenue / Notre-Dame Lachine,45.43489800000,-73.67081900000,3.79545454500,124,0,568,1137,176,0.00000000000,0.00000000000,78,0.00000000000,8e avenue / Notre-Dame Lachine,45.43489800000,-73.67081900000,2022,668,668.00000000000,78.00000000000,629,45.43489800000,-73.67081900000,2022,291435,5032790,124,291436.00000000000,5032795.00000000000,291436.00000000000,5032795.00000000000,2752,24663390,Montr?—al,24663390,3147,24663390,595,694.80000000000,0.13445378200,0.18487395000,0.33613445400,0.34453781500,0.07500000000,0.39166666700,0.52500000000,44544,38016,0.25900000000,0.09000000000,0.67164179100,0.14925373100,0.11940298500,0.02985074600
11,197,1226,79,79,Victoria / 18e avenue Lachine,45.43599600000,-73.68011100000,6.22335025400,164,0,570,1141,197,0.00000000000,0.00000000000,79,0.00000000000,Victoria / 18e avenue Lachine,45.43599600000,-73.68011100000,2022,1226,1226.00000000000,79.00000000000,630,45.43599600000,-73.68011100000,2022,290708,5032910,164,290705.00000000000,5032900.00000000000,290705.00000000000,5032900.00000000000,490,24662194,Montr?—al,24662194,2013,24662194,2076,11546.20000000000,0.18786127200,0.18786127200,0.40462427700,0.21965317900,0.10120481900,0.20722891600,0.66987951800,70997,58752,0.13300000000,0.35873605900,0.70833333300,0.22500000000,0.05000000000,0.00833333300
